Authors,Author Full Names,Article Title,Source Title,Abstract,Publication Date,Publication Year,Volume,Issue,DOI,Pubmed Id
"Rodgers, F; Pepperrell, T; Keestra, S; Pilkington, V","Rodgers, Florence; Pepperrell, Toby; Keestra, Sarai; Pilkington, Victoria",Missing clinical trial data: the evidence gap in primary data for potential COVID-19 drugs,TRIALS,"Background: Several drugs are being repurposed for the treatment of the coronavirus disease 2019 (COVID-19) pandemic based on in vitro or early clinical findings. As these drugs are being used in varied regimens and dosages, it is important to enable synthesis of existing safety data from clinical trials. However, availability of safety information is limited by a lack of timely reporting of overall clinical trial results on public registries or through academic publication. We aimed to analyse the evidence gap in this data by conducting a rapid review of results posting on and in academic publications to quantify the number of trials missing results for drugs potentially being repurposed for COVID-19. Methods: was searched for 19 drugs that have been identified as potential treatments for COVID-19. Relevant clinical trials for any prior indication were listed by identifier (NCT number) and checked for results and for timely result reporting (within 395 days of the primary completion date). Additionally, PubMed and Google Scholar were searched to identify publications of results not listed on the registry. A second, blinded search of 10% of trials was conducted to assess reviewer concordance. Results: Of 3754 completed trials, 1516 (40.4%) did not post results on or in the academic literature. Tabular results were available on for 1172 (31.2%) completed trials. A further 1066 (28.4%) had published results in the academic literature, but did not report results on . Key drugs missing clinical trial results include hydroxychloroquine (37.0% completed trials unreported), favipiravir (77.8%) and lopinavir (40.5%). Conclusions: There is an important evidence gap for the safety of drugs being repurposed for COVID-19. This uncertainty could cause unnecessary additional morbidity and mortality during the pandemic. We recommend caution in experimental drug use for non-severe disease and urge clinical trial sponsors to report missing results retrospectively.",DEC 15,2021,22,1,10.1186/s13063-021-05024-y,33451350
"Zhang, J; Rao, X; Li, YM; Zhu, Y; Liu, F; Guo, GL; Luo, GS; Meng, ZJ; De Backer, D; Xiang, H; Peng, ZY","Zhang, Jing; Rao, Xin; Li, Yiming; Zhu, Yuan; Liu, Fang; Guo, Guangling; Luo, Guoshi; Meng, Zhongji; De Backer, Daniel; Xiang, Hui; Peng, Zhiyong",Pilot trial of high-dose vitamin C in critically ill COVID-19 patients,ANNALS OF INTENSIVE CARE,"Background: Few specific medications have been proven effective for the treatment of patients with severe coronavirus disease 2019 (COVID-19). Here, we tested whether high-dose vitamin C infusion was effective for severe COVID-19. Methods: This randomized, controlled, clinical trial was performed at 3 hospitals in Hubei, China. Patients with confirmed severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) infection in the ICU were randomly assigned in as 1:1 ratio to either the high-dose intravenous vitamin C (HDIVC) or the placebo. HDIVC group received 12 g of vitamin C/50 ml every 12 h for 7 days at a rate of 12 ml/hour, and the placebo group received bacteriostatic water for injection in the same way within 48 h of arrival to ICU. The primary outcome was invasive mechanical ventilation-free days in 28 days (IMVFD28). Secondary outcomes were 28-day mortality, organ failure (Sequential Organ Failure Assessment (SOFA) score), and inflammation progression (interleukin-6). Results: Only 56 critical COVID-19 patients were ultimately recruited due to the early control of the outbreak. There was no difference in IMVFD28 between two groups (26.0 [9.0-28.0] in HDIVC vs 22.0 [8.50-28.0] in control, p = 0.57). HDIVC failed to reduce 28-day mortality (P = 0.27). During the 7-day treatment period, patients in the HDIVC group had a steady rise in the PaO2/FiO(2) (day 7: 229 vs. 151 mmHg, 95% CI 33 to 122, P = 0.01), which was not observed in the control group. IL-6 in the HDIVC group was lower than that in the control group (19.42 vs. 158.00; 95% CI -301.72 to -29.79; P = 0.04) on day 7. Conclusion: This pilot trial showed that HDIVC failed to improve IMVFD28, but might show a potential signal of benefit in oxygenation for critically ill patients with COVID-19 improving PaO2/FiO2 even though.",DEC 9,2021,11,1,10.1186/s13613-020-00792-3,33420963
"Lou, Y; Liu, L; Yao, HP; Hu, XJ; Su, JW; Xu, KJ; Luo, R; Yang, X; He, LJ; Lu, XY; Zhao, QW; Liang, TB; Qiu, YQ","Lou, Yan; Liu, Lin; Yao, Hangping; Hu, Xingjiang; Su, Junwei; Xu, Kaijin; Luo, Rui; Yang, Xi; He, Lingjuan; Lu, Xiaoyang; Zhao, Qingwei; Liang, Tingbo; Qiu, Yunqing","Clinical Outcomes and Plasma Concentrations of Baloxavir Marboxil and Favipiravir in COVID-19 Patients: An Exploratory Randomized, Controlled Trial",EUROPEAN JOURNAL OF PHARMACEUTICAL SCIENCES,"Background: Effective antiviral drugs for COVID-19 are still lacking. This study aims to evaluate the clinical outcomes and plasma concentrations of baloxavir acid and favipiravir in COVID-19 patients. Methods: Favipiravir and baloxavir acid were evaluated for their antiviral activity against SARS-CoV-2 in vitro before the trial initiation. We conducted an exploratory trial with 3 arms involving hospitalized adult patients with COVID-19. Patients were randomized assigned in a 1:1:1 ratio into baloxavir marboxil group, favipiravir group, and control group. The primary outcome was the percentage of subjects with viral negative by Day 14 and the time from randomization to clinical improvement. Virus load reduction, blood drug concentration and clinical presentation were also observed. The trial was registered with Chinese Clinical Trial Registry (ChiCTR 2000029544). Results: Baloxavir acid showed antiviral activity in vitro with the half-maximal effective concentration (EC50) of 5.48 mu M comparable to arbidol and lopinavir, but favipiravir didn't demonstrate significant antiviral activity up to 100 mu M. Thirty patients were enrolled. The percentage of patients who turned viral negative after 14-day treatment was 70%, 77%, and 100% in the baloxavir marboxil, favipiravir, and control group respectively, with the medians of time from randomization to clinical improvement was 14, 14 and 15 days, respectively. One reason for the lack of virological effect and clinical benefits may be due to insufficient concentrations of these drugs relative to their antiviral activities. One of the limitations of this study is the time from symptom onset to randomization, especially in the baloxavir marboxil and control groups, which is higher than the favipiravir group. Conclusions: Our findings could not prove a benefit of addition of either baloxavir marboxil or favipiravir under the trial dosages to the existing standard treatment.",FEB 1,2021,157,,10.1016/j.ejps.2020.105631,33115675
"Pasin, L; Navalesi, P; Zangrillo, A; Kuzovlev, A; Likhvantsev, V; Hajjar, LA; Fresilli, S; Lacerda, MVG; Landoni, G","Pasin, Laura; Navalesi, Paolo; Zangrillo, Alberto; Kuzovlev, Artem; Likhvantsev, Valery; Hajjar, Ludhmila Abrahao; Fresilli, Stefano; Guimaraes Lacerda, Marcus Vinicius; Landoni, Giovanni",Corticosteroids for Patients With Coronavirus Disease 2019 (COVID-19) With Different Disease Severity: A Meta-Analysis of Randomized Clinical Trials,JOURNAL OF CARDIOTHORACIC AND VASCULAR ANESTHESIA,"Objectives: Efficacy and safety of corticosteroids in patients with 2019-nCoV (novel coronavirus 2019) infection still are debated. Because large randomized clinical trials (RCTs) and a well-conducted meta-analysis on the use of corticosteroids, focused on patients with coronavirus disease (COVID-19) in intensive care units, recently were published, a meta-analysis of RCTs on corticosteroids therapy in patients with different disease severity was performed to evaluate the effect on survival. Design: A meta-analyses of RCTs was performed. Setting: Patients admitted to hospital. Participants: Patients with coronavirus disease. Interventions: Administration of corticosteroids. Measurements and Main Results: A search was performed for RCTs of adult patients with acute hypoxemic failure related to 2019-nCoV infection who received corticosteroids versus any comparator. The primary endpoint was mortality rate. Five RCTs involving 7,692 patients were included. Overall mortality of patients treated with corticosteroids was slightly but significantly lower than mortality of controls (26% v 28%, relative risk {RR} = 0.89 [95% confidence interval {CI} 0.82-0.96], p = 0.003). The same beneficial effect was found in the subgroup of patients requiring mechanical ventilation (RR = 0.85 [95% CI 0.72-1.00], p = 0.05 number needed to treat {NNT} = 19). Remarkably, corticosteroids increased mortality in the subgroup of patients not requiring oxygen (17% v 13%, RR = 1.23 [95% CI 1.00-1.62], p = 0.05 number needed to harm {NNH} = 29). Tests for comparison between mechanically ventilated subgroups and those not requiring oxygen confirmed that treatment with corticosteroids had a statistically significant different effect on survival. Patients treated with corticosteroids had a significantly lower risk of need for mechanical ventilation. Conclusions: Corticosteroids may be considered in severe critically ill patients with COVID-19 but must be discouraged in patients not requiring oxygen therapy. Urgently, further trials are warranted before implementing this treatment worldwide. (C) 2020 Elsevier Inc. All rights reserved.",FEB,2021,35,2,10.1053/j.jvca.2020.11.057,33298370
"Gottlieb, RL; Nirula, A; Chen, P; Boscia, J; Heller, B; Morris, J; Huhn, G; Cardona, J; Mocherla, B; Stosor, V; Shawa, I; Kumar, P; Adams, AC; Van Naarden, J; Custer, KL; Durante, M; Oakley, G; Schade, AE; Holzer, TR; Ebert, PJ; Higgs, RE; Kallewaard, NL; Sabo, J; Patel, DR; Klekotka, P; Shen, L; Skovronsky, DM","Gottlieb, Robert L.; Nirula, Ajay; Chen, Peter; Boscia, Joseph; Heller, Barry; Morris, Jason; Huhn, Gregory; Cardona, Jose; Mocherla, Bharat; Stosor, Valentina; Shawa, Imad; Kumar, Princy; Adams, Andrew C.; Van Naarden, Jacob; Custer, Kenneth L.; Durante, Michael; Oakley, Gerard; Schade, Andrew E.; Holzer, Timothy R.; Ebert, Philip J.; Higgs, Richard E.; Kallewaard, Nicole L.; Sabo, Janelle; Patel, Dipak R.; Klekotka, Paul; Shen, Lei; Skovronsky, Daniel M.",Effect of Bamlanivimab as Monotherapy or in Combination With Etesevimab on Viral Load in Patients With Mild to Moderate COVID-19 A Randomized Clinical Trial,JAMA-JOURNAL OF THE AMERICAN MEDICAL ASSOCIATION,"IMPORTANCE Coronavirus disease 2019 (COVID-19) continues to spread rapidly worldwide. Neutralizing antibodies are a potential treatment for COVID-19. OBJECTIVE To determine the effect of bamlanivimab monotherapy and combination therapy with bamlanivimab and etesevimab on severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) viral load in mild to moderate COVID-19. DESIGN, SETTING, AND PARTICIPANTS The BLAZE-1 study is a randomized phase 2/3 trial at 49 US centers including ambulatory patients (N = 613) who tested positive for SARS-CoV-2 infection and had 1 or more mild to moderate symptoms. Patients who received bamlanivimab monotherapy or placebo were enrolled first (June 17-August 21, 2020) followed by patients who received bamlanivimab and etesevimab or placebo (August 22-September 3). These are the final analyses and represent findings through October 6, 2020. INTERVENTIONS Patients were randomized to receive a single infusion of bamlanivimab (700 mg [n = 101], 2800 mg [n = 107], or 7000 mg [n = 101]), the combination treatment (2800 mg of bamlanivimab and 2800 mg of etesevimab [n = 112]), or placebo (n = 156). MAIN OUTCOMES AND MEASURES The primary end point was change in SARS-CoV-2 log viral load at day 11 (+/- 4 days). Nine prespecified secondary outcome measures were evaluated with comparisons between each treatment group and placebo, and included 3 other measures of viral load, 5 on symptoms, and 1 measure of clinical outcome (the proportion of patients with a COVID-19-related hospitalization, an emergency department [ED] visit, or death at day 29). RESULTS Among the 577 patients who were randomized and received an infusion (mean age, 44.7 [SD, 15.7] years; 315 [54.6%] women), 533 (92.4%) completed the efficacy evaluation period (day 29). The change in log viral load from baseline at day 11 was -3.72 for 700 mg, -4.08 for 2800 mg, -3.49 for 7000 mg, -4.37 for combination treatment, and -3.80 for placebo. Compared with placebo, the differences in the change in log viral load at day 11 were 0.09 (95% CI, -0.35 to 0.52; P = .69) for 700 mg, -0.27 (95% CI, -0.71 to 0.16; P = .21) for 2800 mg, 0.31 (95% CI, -0.13 to 0.76; P = .16) for 7000 mg, and -0.57 (95% CI, -1.00 to -0.14; P = .01) for combination treatment. Among the secondary outcome measures, differences between each treatment group vs the placebo group were statistically significant for 10 of 84 end points. The proportion of patients with COVID-19-related hospitalizations or ED visits was 5.8% (9 events) for placebo, 1.0% (1 event) for 700 mg, 1.9% (2 events) for 2800 mg, 2.0% (2 events) for 7000 mg, and 0.9% (1 event) for combination treatment. Immediate hypersensitivity reactions were reported in 9 patients (6 bamlanivimab, 2 combination treatment, and 1 placebo). No deaths occurred during the study treatment. CONCLUSIONS AND RELEVANCE Among nonhospitalized patients with mild to moderate COVID-19 illness, treatment with bamlanivimab and etesevimab, compared with placebo, was associated with a statistically significant reduction in SARS-CoV-2 viral load at day 11; no significant difference in viral load reduction was observed for bamlanivimab monotherapy. Further ongoing clinical trials will focus on assessing the clinical benefit of antispike neutralizing antibodies in patients with COVID-19 as a primary end point.",,,,,10.1001/jama.2021.0202,33475701
"Harkey, K; Kaiser, N; Zhao, J; Hetherington, T; Gutnik, B; Matthews, BD; Kelz, RR; Reinke, CE","Harkey, Kristen; Kaiser, Nicole; Zhao, Jing; Hetherington, Timothy; Gutnik, Bella; Matthews, Brent D.; Kelz, Rachel R.; Reinke, Caroline E.",Postdischarge Virtual Visits for Low-risk Surgeries A Randomized Noninferiority Clinical Trial,JAMA SURGERY,"IMPORTANCE Postdischarge video-based virtual visits are a growing aspect of surgical care and have dramatically increased in the setting of the coronavirus disease 2019 (COVID-19) pandemic. OBJECTIVE To evaluate the outcomes of all-cause 30-day hospital encounter proportion among patients who have a postdischarge video-based virtual visit follow-up compared with in-person follow-up. DESIGN, SETTING, AND PARTICIPANTS Randomized, active, controlled noninferiority trial in an urban setting, including patients from a small community hospital and a large, tertiary care hospital. Patients who underwent minimally invasive appendectomy or cholecystectomy by a group of surgeons who cover emergency general surgery at these 2 hospitals were included. Patients undergoing elective and nonelective procedures were included. INTERVENTIONS Patients were randomized in a 2:1 fashion to video-based virtual visit or in-person visit. MAIN OUTCOMES AND MEASURES The primary outcome is the percentage of patients with 30-day hospital encounter, and we hypothesized that there would not be a significant increase in the 30-day hospital encounter proportion for patients who receive video-based virtual postdischarge care compared with patients who receive standard (in-person) care. Hospital encounter includes emergency department visit, observation, or inpatient admission. RESULTS A total of 1645 patients were screened; 289 patients were randomized to the virtual group and 143 to the in-person group. Fifty-three patients crossed over to the in-person follow-up group. The percentage of patients who had a hospital encounter was noninferior for virtual visits (12.8% vs 13.3% for in-person, Delta 0.5% with 1-sided 95% CI, -infinity to 5.2%). The amount of time patients spent with the clinician (mean of 8.4 minutes virtual vs 7.8 minutes in-person; P = .30) was not different, but the median overall postoperative visit time was 27.5 minutes shorter (95% CI, -33.5 to -24.0). CONCLUSIONS AND RELEVANCE Postdischarge video-based virtual visits did not increase hospital encounter proportions and provided shorter overall time commitment but equal time with the surgical team member. This information will help surgeons and patients feel more confident in using video-based virtual visits.",,,,,10.1001/jamasurg.2020.6265,33439221
"Ritvo, P; Ahmad, F; El Morr, C; Pirbaglou, M; Moineddin, R","Ritvo, Paul; Ahmad, Farah; El Morr, Christo; Pirbaglou, Meysam; Moineddin, Rahim","A Mindfulness-Based Intervention for Student Depression, Anxiety, and Stress: Randomized Controlled Trial",JMIR MENTAL HEALTH,"Background: University students are experiencing higher levels of distress and mental health disorders than before. In addressing mental health needs, web-based interventions have shown increasing promise in overcoming geographic distances and high student-to-counselor ratios, leading to the potential for wider implementation. The Mindfulness Virtual Community (MVC) program, a web-based program, guided by mindfulness and cognitive behavioral therapy principles, is among efforts aimed at effectively and efficiently reducing symptoms of depression, anxiety, and perceived stress in students. Objective: This study's aim was to evaluate the efficacy of an 8-week MVC program in reducing depression, anxiety, and perceived stress (primary outcomes), and improving mindfulness (secondary outcome) in undergraduate students at a large Canadian university. Guided by two prior randomized controlled trials (RCTs) that each demonstrated efficacy when conducted during regular university operations, this study coincided with a university-wide labor strike. Nonetheless, the students' response to an online mental health program on a disrupted campus can provide useful information for anticipating the impact of other disruptions, including those related to the COVID-19 pandemic as well as future disruptions. Methods: In this parallel-arm RCT, 154 students were randomly allocated to an 8-week MVC intervention (n=76) or a wait-list control (WLC) condition (n=78). The MVC intervention included the following: (1) educational and mindfulness video modules, (2) anonymous peer-to-peer discussions, and (3) anonymous, group-based, professionally guided, 20-minute videoconferences. Study outcomes were evaluated at baseline and at 8-week follow-up using the following: Patient Health Questionnaire-9 (PHQ-9), the Beck Anxiety Inventory (BAT), the Perceived Stress Scale (PSS), and the Five Facets Mindfulness Questionnaire Short Form (FFMQ-SF). Generalized estimation equations with an AR (1) covariance structure were used to evaluate the impact of the intervention, with outcome evaluations performed on both an intention-to-treat (ITT) and per-protocol (PP) basis. Results: Participants (n=154) included 35 males and 117 females with a mean age of 23.1 years. There were no statistically significant differences at baseline between the MVC and WLC groups on demographics and psychological characteristics, indicating similar demographic and psychological characteristics across the two groups. Results under both ITT and PP approaches indicated that there were no statistically significant between-group differences in PHQ-9 (ITT: beta=-0.44, P=.64; PP: beta=-0.62, P=.053), BAI (ITT: beta=-2.06, P=.31; PP: beta=-2.32, P=.27), and FFMQ-SF (ITT: beta=1.33, P=.43; PP: beta=1.44, P=.41) compared to WLC. There was a significant difference for the PSS (ITT: beta=-2.31, P=.03; PP: beta=-2.38, P=.03). Conclusions: During a university labor strike, the MVC program led to statistically significant reductions in PSS compared to the WLC group, but there were no other significant between-group differences. Comparisons with previous cycles of intervention testing, undertaken during nondisrupted university operations, when efficacy was demonstrated, are discussed.",JAN 11,2021,8,1,10.2196/23491,33264098
"Broockman, D; Kalla, J; Guerrero, A; Budolfson, M; Eyal, N; Jewell, NP; Magalhaes, M; Sekhon, JS","Broockman, David; Kalla, Joshua; Guerrero, Alexander; Budolfson, Mark; Eyal, Nir; Jewell, Nicholas P.; Magalhaes, Monica; Sekhon, Jasjeet S.",Broad cross-national public support for accelerated COVID-19 vaccine trial designs,VACCINE,"A vaccine for COVID-19 is urgently needed. Several vaccine trial designs may significantly accelerate vaccine testing and approval, but also increase risks to human subjects. Concerns about whether the public would see such designs as ethical represent an important roadblock to their implementation; accordingly, both the World Health Organization and numerous scholars have called for consulting the public regarding them. We answered these calls by conducting a cross-national survey (n = 5920) in Australia, Canada, Hong Kong, New Zealand, South Africa, Singapore, the United Kingdom, and the United States. The survey explained key differences between traditional vaccine trials and two accelerated designs: a challenge trial or a trial integrating a Phase II safety and immunogenicity trial into a larger Phase III efficacy trial. Respondents' answers to comprehension questions indicate that they largely understood the key differences and ethical trade-offs between the designs from our descriptions. We asked respondents whether they would prefer scientists to conduct traditional trials or one of these two accelerated designs. We found broad majorities prefer for scientists to conduct challenge trials (75%) and integrated trials (63%) over standard trials. Even as respondents acknowledged the risks, they perceived both accelerated trials as similarly ethical to standard trial designs. This high support is consistent across every geography and demographic subgroup we examined, including vulnerable populations. These findings may help assuage some of the concerns surrounding accelerated designs. (C) 2020 Elsevier Ltd. All rights reserved.",JAN 8,2021,39,2,10.1016/j.vaccine.2020.11.072,33334616
"Gold, MS; Lincoln, G; Cashman, P; Braunack-Mayer, A; Stocks, N","Gold, M. S.; Lincoln, G.; Cashman, P.; Braunack-Mayer, A.; Stocks, N.",Efficacy of m-Health for the detection of adverse events following immunization - The stimulated telephone assisted rapid safety surveillance (STARSS) randomised control trial,VACCINE,"Introduction: Passive surveillance is recommended globally for the detection of adverse events following immunisation (AEFI) but this has significant challenges. Use of Mobile health for vaccine safety surveillance enables a consumer-centred approach to reporting. The Stimulated Telephone Assisted Rapid Safety Surveillance (STARSS) a randomised control trial (RCT) sought to evaluate the efficacy and acceptability of SMS for AEFI surveillance. Methods: Multi-centre RCT, participants were adult vaccinees or parents of children receiving any vaccine at a trial site. At enrolment randomisation occurred to one of two SMS groups or a control group. Prompts on days 2, 7 and 14 post-immunisation, were sent to the SMS group, to ascertain if a medical event following immunisation (MEFI) had occurred. No SMS's were sent to the control participants. Those in the SMS who notified an MEFI were pre-randomised to complete a computer assisted telephone interview or a web based report to determine if an AEFI had occurred whilst an AEFI in the controls was determined by a search for passive reports. The primary outcome was the AEFI detection rate in the SMS group compared to controls. Results: We enrolled 6,338 participants, who were equally distributed across groups and who received 11,675 vaccines. The SMS group (4,225) received 12,675 surveillance prompts with 9.8% being noncompliant and not responding. In those that responded 90% indicated that no MEFI had been experienced and 184 had a verified AEFI. 6 control subjects had a reported AEFI. The AEFI detection rate was 13 fold greater in the SMS group when compared with controls (4.3 vs 0.3%). Conclusion: We have demonstrated that the STARSS methodology improves AEFI detection. Our findings should inform the wider use of SMS-based surveillance which is particularly relevant since establishing robust and novel pharmacovigilance systems is critical to monitoring novel vaccines which includes potential COVID vaccines. Crown Copyright (C) 2020 Published by Elsevier Ltd. All rights reserved.",JAN 8,2021,39,2,10.1016/j.vaccine.2020.11.056,33279317
"Agley, J; Jun, MY; Eldridge, L; Agley, DL; Xiao, YY; Sussman, S; Golzarri-Arroyo, L; Dickinson, SL; Jayawardene, W; Gassman, R","Agley, Jon; Jun, Mikyoung; Eldridge, Lori; Agley, Daniel L.; Xiao, Yunyu; Sussman, Steve; Golzarri-Arroyo, Lilian; Dickinson, Stephanie L.; Jayawardene, Wasantha; Gassman, Ruth",Effects of ACT Out! Social Issue Theater on Social-Emotional Competence and Bullying in Youth and Adolescents: Cluster Randomized Controlled Trial,JMIR MENTAL HEALTH,"Background: Schools increasingly prioritize social-emotional competence and bullying and cyberbullying prevention, so the development of novel, low-cost, and high-yield programs addressing these topics is important. Further, rigorous assessment of interventions prior to widespread dissemination is crucial. Objective: This study assesses the effectiveness and implementation fidelity of the ACT Out! Social Issue Theater program, a 1-hour psychodramatic intervention by professional actors; it also measures students' receptiveness to the intervention. Methods: This study is a 2-arm cluster randomized control trial with 1:1 allocation that randomized either to the ACT Out! intervention or control (treatment as usual) at the classroom level (n=76 classrooms in 12 schools across 5 counties in Indiana, comprised of 1571 students at pretest in fourth, seventh, and tenth grades). The primary outcomes were self-reported social-emotional competence, bullying perpetration, and bullying victimization; the secondary outcomes were receptiveness to the intervention, implementation fidelity (independent observer observation), and prespecified subanalyses of social-emotional competence for seventh- and tenth-grade students. All outcomes were collected at baseline and 2-week posttest, with planned 3-months posttest data collection prevented due to the COVID-19 pandemic. Results: Intervention fidelity was uniformly excellent (>96% adherence), and students were highly receptive to the program. However, trial results did not support the hypothesis that the intervention would increase participants' social-emotional competence. The intervention's impact on bullying was complicated to interpret and included some evidence of small interaction effects (reduced cyberbullying victimization and increased physical bullying perpetration). Additionally, pooled within-group reductions were also observed and discussed but were not appropriate for causal attribution. Conclusions: This study found no superiority for a 1-hour ACT Out! intervention compared to treatment as usual for social-emotional competence or offline bullying, but some evidence of a small effect for cyberbullying. On the basis of these results and the within-group effects, as a next step, we encourage research into whether the ACT Out! intervention may engender a bystander effect not amenable to randomization by classroom. Therefore, we recommend a larger trial of the ACT Out! intervention that focuses specifically on cyberbullying, measures bystander behavior, is randomized by school, and is controlled for extant bullying prevention efforts at each school.",JAN 6,2021,8,1,10.2196/25860,33338986
