Title,Authors,Corporate Authors,Editors,Book Editors,Source Title,Publication Date,Publication Year,Volume,Issue,Part Number,Supplement,Special Issue,Beginning Page,Ending Page,Article Number,DOI,Conference Title,Conference Date,Total Citations,Average per Year,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Hydroxychloroquine and azithromycin as a treatment of COVID-19: results of an open-label non-randomized clinical trial,"Gautret, Philippe; Lagier, Jean-Christophe; Parola, Philippe; Van Thuan Hoang; Meddeb, Line; Mailhe, Morgane; Doudier, Barbara; Courjon, Johan; Giordanengo, Valerie; Vieira, Vera Esteves; Dupont, Herve Tissot; Honore, Stephane; Colson, Philippe; Chabriere, Eric; La Scola, Bernard; Rolain, Jean-Marc; Brouqui, Philippe; Raoult, Didier",,,,INTERNATIONAL JOURNAL OF ANTIMICROBIAL AGENTS,JUL 2020,2020,56,1,,,,,,105949,10.1016/j.ijantimicag.2020.105949,,,1076,1076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1071,4
A Trial of Lopinavir-Ritonavir in Adults Hospitalized with Severe Covid-19,"Cao, B.; Wang, Y.; Wen, D.; Liu, W.; Wang, Jingli; Fan, G.; Ruan, L.; Song, B.; Cai, Y.; Wei, M.; Li, X.; Xia, J.; Chen, N.; Xiang, J.; Yu, T.; Bai, T.; Xie, X.; Zhang, L.; Li, C.; Yuan, Y.; Chen, H.; Li, Huadong; Huang, H.; Tu, S.; Gong, F.; Liu, Y.; Wei, Y.; Dong, C.; Zhou, F.; Gu, X.; Xu, J.; Liu, Z.; Zhang, Y.; Li, Hui; Shang, L.; Wang, K.; Li, K.; Zhou, X.; Dong, X.; Qu, Z.; Lu, S.; Hu, X.; Ruan, S.; Luo, S.; Wu, J.; Peng, L.; Cheng, F.; Pan, L.; Zou, J.; Jia, C.; Wang, Juan; Liu, X.; Wang, S.; Wu, X.; Ge, Q.; He, J.; Zhan, H.; Qiu, F.; Guo, L.; Huang, C.; Jaki, T.; Hayden, F. G.; Horby, P. W.; Zhang, D.; Wang, C.",,,,NEW ENGLAND JOURNAL OF MEDICINE,MAY 7 2020,2020,382,19,,,,1787,1799,,10.1056/NEJMoa2001282,,,928,928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,927,0
"Remdesivir in adults with severe COVID-19: a randomised, double-blind, placebo-controlled, multicentre trial","Wang, Yeming; Zhang, Dingyu; Du, Guanhua; Du, Ronghui; Zhao, Jianping; Jin, Yang; Fu, Shouzhi; Gao, Ling; Cheng, Zhenshun; Lu, Qiaofa; Hu, Yi; Luo, Guangwei; Wang, Ke; Lu, Yang; Li, Huadong; Wang, Shuzhen; Ruan, Shunan; Yang, Chengqing; Mei, Chunlin; Wang, Yi; Ding, Dan; Wu, Feng; Tang, Xin; Ye, Xianzhi; Ye, Yingchun; Liu, Bing; Yang, Jie; Yin, Wen; Wang, Aili; Fan, Guohui; Zhou, Fei; Liu, Zhibo; Gu, Xiaoying; Xu, Jiuyang; Shang, Lianhan; Zhang, Yi; Cao, Lianjun; Guo, Tingting; Wan, Yan; Qin, Hong; Jiang, Yushen; Jaki, Thomas; Hayden, Frederick G.; Horby, Peter W.; Cao, Bin; Wang, Chen",,,,LANCET,MAY 16 2020,2020,395,10236,,,,1569,1578,,10.1016/S0140-6736(20)31022-9,,,372,372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,370,2
Effect of High vs Low Doses of Chloroquine Diphosphate as Adjunctive Therapy for Patients Hospitalized With Severe Acute Respiratory Syndrome Coronavirus 2 (SARS-CoV-2) Infection A Randomized Clinical Trial,"Borba, Mayla Gabriela Silva; Val, Fernando Fonseca Almeida; Sampaio, Vanderson Souza; Alexandre, Marcia Almeida Araujo; Melo, Gisely Cardoso; Brito, Marcelo; Mourao, Maria Paula Gomes; Brito-Sousa, Jose Diego; Baia-da-Silva, Djane; Guerra, Marcus Vinitius Farias; Hajjar, Ludhmila Abrahao; Pinto, Rosemary Costa; Balieiro, Antonio Alcirley Silva; Pacheco, Antonio Guilherme Fonseca; Santos, James Dean Oliveira, Jr.; Naveca, Felipe Gomes; Xavier, Mariana Simao; Siqueira, Andre Machado; Schwarzbold, Alexandre; Croda, Julio; Nogueira, Mauricio Lacerda; Romero, Gustavo Adolfo Sierra; Bassat, Quique; Fontes, Cor Jesus; Albuquerque, Bernardino Claudio; Daniel-Ribeiro, Claudio-Tadeu; Monteiro, Wuelton Marcelo; Lacerda, Marcus Vinicius Guimaraes",CloroCovid 19 Team,,,JAMA NETWORK OPEN,APR 24 2020,2020,3,4,,,,,,e208857,10.1001/jamanetworkopen.2020.8857,,,190,190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190,0
"Triple combination of interferon beta-1b, lopinavir-ritonavir, and ribavirin in the treatment of patients admitted to hospital with COVID-19: an open-label, randomised, phase 2 trial","Hung, Ivan Fan-Ngai; Lung, Kwok-Cheung; Tso, Eugene Yuk-Keung; Liu, Raymond; Chung, Tom Wai-Hin; Chu, Man-Yee; Ng, Yuk-Yung; Lo, Jenny; Chan, Jacky; Tam, Anthony Raymond; Shum, Hoi-Ping; Chan, Veronica; Wu, Alan Ka-Lun; Sin, Kit-Man; Leung, Wai-Shing; Law, Wai-Lam; Lung, David Christopher; Sin, Simon; Yeung, Pauline; Yip, Cyril Chik-Yan; Zhang, Ricky Ruiqi; Fung, Agnes Yim-Fong; Yan, Erica Yuen-Wing; Leung, Kit-Hang; Ip, Jonathan Daniel; Chu, Allen Wing-Ho; Chan, Wan-Mui; Ng, Anthony Chin-Ki; Lee, Rodney; Fung, Kitty; Yeung, Alwin; Wu, Tak-Chiu; Chan, Johnny Wai-Man; Yan, Wing-Wah; Chan, Wai-Ming; Chan, Jasper Fuk-Woo; Lie, Albert Kwok-Wai; Tsang, Owen Tak-Yin; Cheng, Vincent Chi-Chung; Que, Tak-Lun; Lau, Chak-Sing; Chan, Kwok-Hung; To, Kelvin Kai-Wang; Yuen, Kwok-Yung",,,,LANCET,MAY 30 2020,2020,395,10238,,,,1695,1704,,10.1016/S0140-6736(20)31042-4,,,154,154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,154,0
A Randomized Trial of Hydroxychloroquine as Postexposure Prophylaxis for Covid-19,"Boulware, David R.; Pullen, Matthew F.; Bangdiwala, Ananta S.; Pastick, Katelyn A.; Lofgren, Sarah M.; Okafor, Elizabeth C.; Skipper, Caleb P.; Nascene, Alanna A.; Nicol, Melanie R.; Abassi, Mahsa; Engen, Nicole W.; Cheng, Matthew P.; LaBar, Derek; Lother, Sylvain A.; MacKenzie, Lauren J.; Drobot, Glen; Marten, Nicole; Zarychanski, Ryan; Kelly, Lauren E.; Schwartz, Ilan S.; McDonald, Emily G.; Rajasingham, Radha; Lee, Todd C.; Hullsiek, Kathy H.",,,,NEW ENGLAND JOURNAL OF MEDICINE,AUG 6 2020,2020,383,6,,,,517,525,,10.1056/NEJMoa2016638,,,106,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105,1
A SARS DNA vaccine induces neutralizing antibody and cellular immune responses in healthy adults in a Phase I clinical trial,"Martin, Julie E.; Louder, Mark K.; Holman, LaSonji A.; Gordon, Ingelise J.; Enama, Mary E.; Larkin, Brenda D.; Andrews, Charla A.; Vogel, Leatrice; Koup, Richard A.; Roederer, Mario; Bailer, Robert T.; Gomez, Phillip L.; Nason, Martha; Mascola, John R.; Nabel, Gary J.; Graham, Barney S.",VRC Study Team,,,VACCINE,NOV 25 2008,2008,26,50,,,,6338,6343,,10.1016/j.vaccine.2008.09.026,,,100,7.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,11,6,2,3,9,6,3,7,3,2,43,0
A cluster randomised trial of cloth masks compared with medical masks in healthcare workers,"MacIntyre, C. Raina; Seale, Holly; Tham Chi Dung; Nguyen Tran Hien; Phan Thi Nga; Chughtai, Abrar Ahmad; Rahman, Bayzidur; Dwyer, Dominic E.; Wang, Quanyi",,,,BMJ OPEN,2015,2015,5,4,,,,,,e006577,10.1136/bmjopen-2014-006577,,,98,16.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,4,2,3,83,0
Treatment of Middle East Respiratory Syndrome with a combination of lopinavir-ritonavir and interferon-beta 1b (MIRACLE trial): study protocol for a randomized controlled trial,"Arabi, Yaseen M.; Alothman, Adel; Balkhy, Hanan H.; Al-Dawood, Abdulaziz; AlJohani, Sameera; Al Harbi, Shmeylan; Kojan, Suleiman; Al Jeraisy, Majed; Deeb, Ahmad M.; Assiri, Abdullah M.; Al-Hameed, Fahad; AlSaedi, Asim; Mandourah, Yasser; Almekhlafi, Ghaleb A.; Sherbeeni, Nisreen Murad; Elzein, Fatehi Elnour; Memon, Javed; Taha, Yusri; Almotairi, Abdullah; Maghrabi, Khalid A.; Qushmaq, Ismael; Al Bshabshe, Ali; Kharaba, Ayman; Shalhoub, Sarah; Jose, Jesna; Fowler, Robert A.; Hayden, Frederick G.; Hussein, Mohamed A.",MIRACLE Trial Grp,,,TRIALS,JAN 30 2018,2018,19,,,,,,,81,10.1186/s13063-017-2427-0,,,96,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12,83,0
"Hydroxychloroquine in patients with mainly mild to moderate coronavirus disease 2019: open label, randomised controlled trial","Tang, Wei; Cao, Zhujun; Han, Mingfeng; Wang, Zhengyan; Chen, Junwen; Sun, Wenjin; Wu, Yaojie; Xiao, Wei; Liu, Shengyong; Chen, Erzhen; Chen, Wei; Wang, Xiongbiao; Yang, Jiuyong; Lin, Jun; Zhao, Qingxia; Yan, Youqin; Xie, Zhibin; Li, Dan; Yang, Yaofeng; Liu, Leshan; Qu, Jieming; Ning, Guang; Shi, Guochao; Xie, Qing",,,,BMJ-BRITISH MEDICAL JOURNAL,MAY 14 2020,2020,369,,,,,,,m1849,10.1136/bmj.m1849,,,90,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,1
