Title,Authors,Corporate Authors,Editors,Book Editors,Source Title,Publication Date,Publication Year,Volume,Issue,Part Number,Supplement,Special Issue,Beginning Page,Ending Page,Article Number,DOI,Conference Title,Conference Date,Total Citations,Average per Year,2021
Umbilical cord mesenchymal stromal cells as critical COVID-19 adjuvant therapy: A randomized controlled trial,"Dilogo, Ismail Hadisoebroto; Aditianingsih, Dita; Sugiarto, Adhrie; Burhan, Erlina; Damayanti, Triya; Sitompul, Pompini Agustina; Mariana, Nina; Antarianto, Radiana D.; Liem, Isabella Kurnia; Kispa, Tera; Mujadid, Fajar; Novialdi, Novialdi; Luviah, Evah; Kurniawati, Tri; Lubis, Andri M. T.; Rahmatika, Dina",,,,STEM CELLS TRANSLATIONAL MEDICINE,,2021,,,,,,,,,10.1002/sctm.21-0046,,,0,0,0
"Immunogenicity and safety of a severe acute respiratory syndrome coronavirus 2 inactivated vaccine in healthy adults: randomized, double-blind, and placebo-controlled phase 1 and phase 2 clinical trials","Pan, Hong-Xing; Liu, Jian-Kai; Huang, Bao-Ying; Li, Gui-Fan; Chang, Xian-Yun; Liu, Ya-Fei; Wang, Wen-Ling; Chu, Kai; Hu, Jia-Lei; Li, Jing-Xin; Zhu, Dan-Dan; Wu, Jing-Liang; Xu, Xiao-Yu; Zhang, Li; Wang, Meng; Tan, Wen-Jie; Huang, Wei-Jin; Zhu, Feng-Cai",,,,CHINESE MEDICAL JOURNAL,JUN 5 2021,2021,134,11,,,,1289,1298,,10.1097/CM9.0000000000001573,,,0,0,0
Effect of Opt-In vs Opt-Out Framing on Enrollment in a COVID-19 Surveillance Testing Program The COVID SAFE Randomized Clinical Trial,"Oakes, Allison H.; Epstein, Jonathan A.; Ganguly, Arupa; Park, Sae-Hwan; Evans, Chalanda N.; Patel, Mitesh S.",,,,JAMA NETWORK OPEN,JUN 3 2021,2021,4,6,,,,,,e2112434,10.1001/jamanetworkopen.2021.12434,,,0,0,0
Effect of Bamlanivimab vs Placebo on Incidence of COVID-19 Among Residents and Staff of Skilled Nursing and Assisted Living Facilities A Randomized Clinical Trial,"Cohen, Myron S.; Nirula, Ajay; Mulligan, Mark J.; Novak, Richard M.; Marovich, Mary; Yen, Catherine; Stemer, Alexander; Mayer, Stockton M.; Wohl, David; Brengle, Blair; Montague, Brian T.; Frank, Ian; McCulloh, Russell J.; Fichtenbaum, Carl J.; Lipson, Brad; Gabra, Nashwa; Ramirez, Julio A.; Thai, Christine; Chege, Wairimu; Gomez Lorenzo, Margarita M.; Sista, Nirupama; Farrior, Jennifer; Clement, Meredith E.; Brown, Elizabeth R.; Custer, Kenneth L.; Van Naarden, Jacob; Adams, Andrew C.; Schade, Andrew E.; Dabora, Matan C.; Knorr, Jack; Price, Karen L.; Sabo, Janelle; Tuttle, Jay L.; Klekotka, Paul; Shen, Lei; Skovronsky, Daniel M.",BLAZE-2 Investigators,,,JAMA-JOURNAL OF THE AMERICAN MEDICAL ASSOCIATION,,2021,,,,,,,,,10.1001/jama.2021.8828,,,0,0,0
Overcoming methodological challenges due to COVID-19 pandemic in a non-pharmacological caregiver-child randomly controlled trial,"Solis-Cordero, Katherine; Lerner, Rogerio; Marinho, Patricia; Camargo, Patricia; Takey, Silvia; Fujimori, Elizabeth",,,,INTERNATIONAL JOURNAL OF SOCIAL RESEARCH METHODOLOGY,,2021,,,,,,,,,10.1080/13645579.2021.1933067,,,0,0,0
Telemedicine as a tool for dietary intervention in NAFLD-HIV patients during the COVID-19 lockdown: A randomized controlled trial,"Policarpo, Sara; Machado, Mariana, V; Cortez-Pinto, Helena",,,,CLINICAL NUTRITION ESPEN,JUN 2021,2021,43,,,,,329,334,,10.1016/j.clnesp.2021.03.031,,,0,0,0
Hypothetical case replacement can be used to quantify the robustness of trial results,"Frank, Kenneth A.; Lin, Qinyun; Maroulis, Spiro; Mueller, Anna S.; Xu, Ran; Rosenberg, Joshua M.; Hayter, Christopher S.; Mahmoud, Ramy A.; Kolak, Marynia; Dietz, Thomas; Zhang, Lixin",,,,JOURNAL OF CLINICAL EPIDEMIOLOGY,JUN 2021,2021,134,,,,,150,159,,10.1016/j.jclinepi.2021.01.025,,,0,0,0
EMR2vec: Bridging the gap between patient data and clinical trial,"Dhayne, Houssein; Kilany, Rima; Haque, Rafiqul; Taher, Yehia",,,,COMPUTERS & INDUSTRIAL ENGINEERING,JUN 2021,2021,156,,,,,,,107236,10.1016/j.cie.2021.107236,,,0,0,0
"Efficacy of Brazilian green propolis (EPP-AF?) as an adjunct treatment for hospitalized COVID-19 patients: A randomized, controlled clinical trial","Silveira, Marcelo Augusto Duarte; De Jong, David; Berretta, Andresa Aparecida; Galvao, Erica Batista dos Santos; Ribeiro, Juliana Caldas; Cerqueira-Silva, Thiago; Amorim, Thais Chaves; da Conceicao, Luis Filipe Miranda Rebelo; Gomes, Marcel Miranda Dantas; Teixeira, Mauricio Brito; de Souza, Sergio Pinto; dos Santos, Marcele Helena Celestino Alves; San Martin, Raissa Lanna Araujo; Silva, Marcio de Oliveira; Lirio, Monique; Moreno, Lis; Sampaio, Julio Cezar Miranda; Mendonca, Renata; Ultchak, Silviana Salles; Amorim, Fabio Santos; Ramos, Joao Gabriel Rosa; Batista, Paulo Benigno Pena; da Guarda, Suzete Nascimento Farias; Mendes, Ana Verena Almeida; Passos, Rogerio da Hora",BeeCovid Team,,,BIOMEDICINE & PHARMACOTHERAPY,JUN 2021,2021,138,,,,,,,111526,10.1016/j.biopha.2021.111526,,,0,0,0
Tocilizumab in Hospitalized Patients with COVID-19: A Meta Analysis of Randomized Controlled Trials,"Selvaraj, Vijairam; Khan, Mohammad Saud; Bavishi, Chirag; Dapaah-Afriyie, Kwame; Finn, Arkadiy; Lal, Amos; Mylonakis, Eleftherios",,,,LUNG,,2021,,,,,,,,,10.1007/s00408-021-00451-9,,,0,0,0
