Publication Type,Authors,Book Authors,Book Editors,Book Group Authors,Author Full Names,Book Author Full Names,Group Authors,Article Title,Source Title,Book Series Title,Book Series Subtitle,Language,Document Type,Conference Title,Conference Date,Conference Location,Conference Sponsor,Conference Host,Author Keywords,Keywords Plus,Abstract,Addresses,Reprint Addresses,Email Addresses,Researcher Ids,ORCIDs,Funding Orgs,Funding Text,Cited References,Cited Reference Count,"Times Cited, WoS Core","Times Cited, All Databases",180 Day Usage Count,Since 2013 Usage Count,Publisher,Publisher City,Publisher Address,ISSN,eISSN,ISBN,Journal Abbreviation,Journal ISO Abbreviation,Publication Date,Publication Year,Volume,Issue,Part Number,Supplement,Special Issue,Meeting Abstract,Start Page,End Page,Article Number,DOI,Book DOI,Early Access Date,Number of Pages,WoS Categories,Research Areas,IDS Number,UT (Unique WOS ID),Pubmed Id,Open Access Designations,Highly Cited Status,Hot Paper Status,Date of Export,
J,"Choko, AT; Fielding, K; Johnson, CC; Kumwenda, MK; Chilongosi, R; Baggaley, RC; Nyirenda, R; Sande, LA; Desmond, N; Hatzold, K; Neuman, M; Corbett, EL",,,,"Choko, Augustine T.; Fielding, Katherine; Johnson, Cheryl C.; Kumwenda, Moses K.; Chilongosi, Richard; Baggaley, Rachel C.; Nyirenda, Rose; Sande, Linda A.; Desmond, Nicola; Hatzold, Karin; Neuman, Melissa; Corbett, Elizabeth L.",,,"Partner-delivered HIV self-test kits with and without financial incentives in antenatal care and index patients with HIV in Malawi: a three-arm, cluster-randomised controlled trial",LANCET GLOBAL HEALTH,,,,,,,,,,,,"Background Secondary distribution of HIV self-testing (HIVST) kits by patients attending clinic services to their partners could improve the rate of HIV diagnosis. We aimed to investigate whether secondary administration of HIVST kits, with or without an additional financial incentive, via women receiving antenatal care (ANC) or via people newly diagnosed with HIV (ie, index patients) could improve the proportion of male partners tested or the number of people newly diagnosed with HIV. Methods We did a three-arm, open-label, pragmatic, cluster-randomised trial of 27 health centres (clusters), eligible if they were a government primary health centre providing ANC, HIV testing, and ART services, across four districts of Malawi. We recruited women (aged >= 18 years) attending their first ANC visit and whose male partner was available, not already taking ART, and not already tested for HIV during this pregnancy (ANC cohort), and people (aged >= 18 years) with newly diagnosed HIV during routine clinic HIV testing who had at least one sexual contact not already known to be HIV-positive (index cohort). Centres were randomly assigned (1:1:1), using a public selection of computer-generated random allocations, to enhanced standard of care (including an invitation for partners to attend HIV testing services), HIVST only, or HIVST plus a US$10 financial incentive for retesting. The primary outcome for the ANC cohort was the proportion of male partners reportedly tested, as ascertained by interview with women in this cohort at day 28. The primary outcome for the index cohort was the geometric mean number of new HIV-positive people identified per facility within 28 days of enrolment, as measured by observed HIV test results. Cluster-level summaries compared intervention with standard of care by intention to treat. This trial is registered with ClinicalTrials. gov, NCT03705611. Findings Between Sept 8, 2018, and May 2, 2019, nine clusters were assigned to each trial arm, resulting in 4544 eligible women in the ANC cohort (1447 [31.8%] in the standard care group, 1465 [32.2%] in the HIVST only group, and 1632 [35.9%] in HIVST plus financial incentive group) and 708 eligible patients in the index cohort (234 [33.1%] in the standard care group, 169 [23.9%] in the HIVST only group, and 305 [42.9%] in the HIVST plus financial incentive group). 4461 (98.2%) of 4544 eligible women in the ANC cohort and 645 (91.1%) of 708 eligible patients in the index cohort were recruited, of whom 3378 (75.7%) in the ANC cohort and 439 (68.1%) in the index cohort were interviewed after 28 days. In the ANC cohort, the mean proportion of reported partner testing per cluster was 35.0% (SD 10.0) in the standard care group, 73.0% in HIVST only group (13.1, adjusted risk ratio [RR] 1.71, 95% CI 1.48-1.98; p<0.0001), and 65.2% in the HIVST plus financial incentive group (11.6, adjusted RR 1.62, 1.45-1.81; p<0.0001). In the index cohort, the geometric mean number of new HIV-positive sexual partners per cluster was 1.35 (SD 1.62) for the standard care group, 1.91 (1.78) for the HIVST only group (incidence rate ratio adjusted for number eligible as an offset in the negative binomial model 1.65, 95% CI 0.49-5.55; p=0.3370), and 3.20 (3.81) for the HIVST plus financial incentive group (3.11, 0.99-9.77; p=0.0440). Four self-resolving, temporary marital separations occurred due to disagreement in couples regarding HIV self-test kits. Interpretation Although administration of HIVST kits in the ANC cohort, even when offered alongside a financial incentive, did not identify significantly more male patients with HIV than did standard care, out-of-clinic options for HIV testing appear more acceptable to many male partners of women with HIV, increasing test uptake. Viewed in the current context, this approach might allow continuation of services despite COVID-19-related lockdowns. Copyright (C) 2021 World Health Organization; licensee Elsevier.",,,,,,,,,,,,,,,,,2214-109X,,,,,JUL,2021,9,7,,,,,E977,E988,,,,,,,,,WOS:000662250700027,34143996,,,,,
J,"Schwendicke, F; Muller, A; Seifert, T; Jeggle-Engbert, LM; Paris, S; Gostemeyer, G",,,,"Schwendicke, Falk; Mueller, Anne; Seifert, Tilmann; Jeggle-Engbert, Linda-Maria; Paris, Sebastian; Goestemeyer, Gerd",,,"Glass hybrid versus composite for non-carious cervical lesions: Survival, restoration quality and costs in randomized controlled trial after 3 years",JOURNAL OF DENTISTRY,,,,,,,,,,,,"Objective: This study compared survival, restoration quality and costs of glass hybrid (GH; EQUIA Forte Fil/ EQUIA Forte Coat) and resin composite restorations (RC; OptiBond FL/Filtek Supreme XTE) of sclerotic noncarious cervical lesions. Methods: This is a cluster-randomized trial (ClinicalTrials.gov: NCT02631161). 88 patients (50 & ndash;70 years) with 175 sNCCLs were randomized to receive GH or RC. Restorations were placed without mechanical cavity preparation and followed for a mean 36 (min/max: 31/55) months (variable follow-up due to COVID-19 lockdown). Restoration quality was re-evaluated at 1-, 18- and 36-months using FDI-criteria. Survival was assessed using multi-level Cox-regression analysis. Costs were estimated from a payer & rsquo;s perspective in Germany. Initial costs were determined based on micro-costing using time recordings and hourly costs, and follow-up costs based on statutory insurance fee-item-catalogues. Results: 88 patients (175 restorations) were treated; 43 received GH (83 restorations), 45 RC (92 restorations). 17 GH and 19 RC showed total retention loss, 5 GH were partially lost (p = 0.396/Cox). FDI ratings were not sufficiently different for any domain except surface luster, where RC showed higher score (p < 0.001). Costs were initially lower for GH (32.57; SD 16.36 & euro;) than RC (44.25; SD 21.40 & euro;), while re-treatment costs were similar (GH: 9.15; SD 15.70 & euro;; RC: 7.35; SD 14.51 & euro;), resulting in significantly lower costs for GH (GH: 41.72; SD 25.08 & euro;) than RC (51.60; 26.17 & euro;) (p < 0.001/GLM). Conclusions: While survival was not significantly different, GH was significantly less costly both initially and longterm than RC for restoring non-carious cervical lesions. Clinical significance: Within this trial, survival was not significantly different between GH and RC to restore sclerotic NCCLs. As GH was significantly less costly both initially and long-term than RC, using RC was only costeffective for payers willing to invest high additional expenses per minimal survival gains.",,,,,"Paris, Sebastian/0000-0002-1302-8761",,,,,,,,,,,,0300-5712,1879-176X,,,,JUL,2021,110,,,,,,,,103689,10.1016/j.jdent.2021.103689,,,,,,,WOS:000661455200011,33979577,,,,,
J,"Qi, D; Wong, NML; Shao, R; Man, ISC; Wong, CHY; Yuen, LP; Chan, CCH; Lee, TMC",,,,"Qi, Di; Wong, Nichol M. L.; Shao, Robin; Man, Idy S. C.; Wong, Clive H. Y.; Yuen, Lai Ping; Chan, Chetwyn C. H.; Lee, Tatia M. C.",,,Qigong exercise enhances cognitive functions in the elderly via an interleukin-6-hippocampus pathway: A randomized active-controlled trial,BRAIN BEHAVIOR AND IMMUNITY,,,,,,,,,,,,"Background: Evidence has suggested that exercise protects against cognitive decline in aging, but the recent lockdown measures associated with the COVID-19 pandemic have limited the opportunity for outdoor exercise. Herein we tested the effects of an indoor exercise, Qigong, on neurocognitive functioning as well as its potential neuro-immune pathway. Methods: We conducted a 12-week randomized active-controlled trial with two study arms in cognitively healthy older people. We applied Wu Xing Ping Heng Gong (Qigong), which was designed by an experienced Daoist Qigong master, to the experimental group, whereas we applied the physical stretching exercise to the control group. The Qigong exercise consisted of a range of movements involving the stretching of arms and legs, the turning of the torso, and relaxing, which would follow the fundamental principles of Daoism and traditional Chinese medicine (e.g., Qi). We measured aging-sensitive neurocognitive abilities, serum interleukin-6 (IL-6) levels, and brain structural volumes in the experimental (Qigong, n = 22) and control groups (stretching, n = 26) before and after the 12-week training. Results: We observed that Qigong caused significant improvement in processing speed (t (46) = 2.03, p = 0.048) and sustained attention (t (46) = -2.34, p = 0.023), increased hippocampal volume (t (41) = 3.94, p < 0.001), and reduced peripheral IL-6 levels (t (46) = -3.17, p = 0.003). Moreover, following Qigong training, greater reduction of peripheral IL-6 levels was associated with a greater increase of processing speed performance (bootstrapping CI: [0.16, 3.30]) and a more significant training-induced effect of hippocampal volume on the improvement in sustained attention (bootstrapping CI: [-0.35, -0.004]). Conclusion: Overall, these findings offer significant insight into the mechanistic role of peripheral IL-6 & mdash;and its intricate interplay with neural processes & mdash;in the beneficial neurocognitive effects of Qigong. The findings have profound implications for early identification and intervention of older individuals vulnerable to cognitive decline, focusing on the neuro-immune pathway. The trial was registered at clinicaltrials.gov (identifier: NCT04641429).",,,,,,,,,,,,,,,,,0889-1591,1090-2139,,,,JUL,2021,95,,,,,,381,390,,10.1016/j.bbi.2021.04.011,,,,,,,WOS:000658515600004,33872709,,,,,
J,"Drekonja, DM; Shaukat, A; Zhang, JH; Reinink, AR; Nugent, S; Dominitz, JA; Davis-Karim, A; Gerding, DN; Kyriakides, TC",,,,"Drekonja, Dimitri M.; Shaukat, Aasma; Zhang, Jane H.; Reinink, Andrew R.; Nugent, Sean; Dominitz, Jason A.; Davis-Karim, Anne; Gerding, Dale N.; Kyriakides, Tassos C.",,,Microbiota or placebo after antimicrobial therapy for recurrent Clostridioides difficile at home: A clinical trial with novel home-based enrollment,CLINICAL TRIALS,,,,,,,,,,,,"Introduction: Clostridiodes difficile infection is the leading cause of infectious diarrhea in the United States, with substantial morbidity and mortality. Recurrent infection is especially challenging, with each recurrence increasing the likelihood of a successive recurrence, leading to cycles of prolonged symptoms, frequent antimicrobial use, and decreased quality of life. Fecal microbiota transplantation to prevent recurrent infection is a promising intervention with a large effect size in observational studies, but with conflicting results from randomized controlled trials. We are conducting a Veterans Affairs-wide randomized controlled trial utilizing centralized case identification, with enrollment and fecal microbiota transplant administration occurring at the participant's home. This type of trial design significantly improves trial efficiency, greatly decreases trial cost, increases consistency of trial administration, and most importantly makes nationwide clinical trials in less-common diseases possible. Methods: This is a randomized comparison of capsule-delivered fecal microbiota transplant for the prevention of recurrent Clostridiodes difficile infection, administered after successful initial treatment of recurrent C. difficile infection with standard therapy. The primary endpoint is the incidence of recurrent C. difficile infection or death. Cases are identified by searching the Veterans Affairs Corporate Data Warehouse, with central study coordinators then reaching out to potential participants. Individuals meeting inclusion criteria and interested in participation are scheduled for in-home consent, randomization, and capsule administration, followed by telephone follow-up for 6 months. To mitigate risks of COVID-19, enrollment via video visits has been implemented. Results: A total of 102 participants have been enrolled through January 2021. Centralized case identification and in-home enrollment has facilitated enrollment from 34 unique states, with 38% being from rural or highly rural areas. Discussion: Centralized case identification and in-home enrollment is a feasible and innovative method of conducting randomized controlled trials in the Veterans Affairs system, improving access to clinical research for populations who may have difficulty engaging with the traditional model of clinical trials where enrollment is based at large hospitals in major metropolitan areas.",,,,,,,,,,,,,,,,,1740-7745,1740-7753,,,,,,,,,,,,,,1.74077E+16,10.1177/17407745211021198,,JUN 2021,,,,,WOS:000666617800001,34154439,,,,,
J,"Orkin, AM; Gill, PJ; Ghersi, D; Campbell, L; Sugarman, J; Emsley, R; Steg, PG; Weijer, C; Simes, J; Rombey, T; Williams, HC; Wittes, J; Moher, D; Richards, DP; Kasamon, Y; Getz, K; Hopewell, S; Dickersin, K; Wu, TX; Ayala, AP; Schulz, KF; Calleja, S; Boutron, I; Ross, JS; Golub, RM; Khan, KM; Mulrow, C; Siegfried, N; Heber, J; Lee, NA; Kearney, PR; Wanyenze, RK; Hrobjartsson, A; Williams, R; Bhandari, N; Juni, P; Chan, AW",,,,"Orkin, Aaron M.; Gill, Peter J.; Ghersi, Davina; Campbell, Lisa; Sugarman, Jeremy; Emsley, Richard; Steg, Philippe Gabriel; Weijer, Charles; Simes, John; Rombey, Tanja; Williams, Hywel C.; Wittes, Janet; Moher, David; Richards, Dawn P.; Kasamon, Yvette; Getz, Kenneth; Hopewell, Sally; Dickersin, Kay; Wu, Taixiang; Ayala, Ana Patricia; Schulz, Kenneth F.; Calleja, Sabine; Boutron, Isabelle; Ross, Joseph S.; Golub, Robert M.; Khan, Karim M.; Mulrow, Cindy; Siegfried, Nandi; Heber, Joerg; Lee, Naomi; Kearney, Pamela Reed; Wanyenze, Rhoda K.; Hrobjartsson, Asbjorn; Williams, Rebecca; Bhandari, Nita; Juni, Peter; Chan, An-Wen",,,Guidelines for Reporting Trial Protocols and Completed Trials Modified Due to the COVID-19 Pandemic and Other Extenuating Circumstances The CONSERVE 2021 Statement,JAMA-JOURNAL OF THE AMERICAN MEDICAL ASSOCIATION,,,,,,,,,,,,"IMPORTANCE Extenuating circumstances can trigger unplanned changes to randomized trials and introduce methodological, ethical, feasibility, and analytical challenges that can potentially compromise the validity of findings. Numerous randomized trials have required changes in response to the COVID-19 pandemic, but guidance for reporting such modifications is incomplete. OBJECTIVE As a joint extension for the CONSORT and SPIRIT reporting guidelines, CONSERVE (CONSORT and SPIRIT Extension for RCTs Revised in Extenuating Circumstances) aims to improve reporting of trial protocols and completed trials that undergo important modifications in response to extenuating circumstances. EVIDENCE A panel of 37 international trial investigators, patient representatives, methodologists and statisticians, ethicists, funders, regulators, and journal editors convened to develop the guideline. The panel developed CONSERVE following an accelerated, iterative process between June 2020 and February 2021 involving (1) a rapid literature review of multiple databases (OVID Medline, OVID EMBASE, and EBSCO CINAHL) and gray literature sources from 2003 to March 2021; (2) consensus-based panelist meetings using a modified Delphi process and surveys; and (3) a global survey of trial stakeholders. FINDINGS The rapid review yielded 41 673 citations, of which 38 titles were relevant, including emerging guidance from regulatory and funding agencies for managing the effects of the COVID-19 pandemic on trials. However, no generalizable guidance for all circumstances in which trials and trial protocols might face unanticipated modifications were identified. The CONSERVE panel used these findings to develop a consensus reporting guidelines following 4 rounds of meetings and surveys. Responses were received from 198 professionals from 34 countries, of whom 90% (n = 178) indicated that they understood the concept definitions and 85.4% (n = 169) indicated that they understood and could use the implementation tool. Feedback from survey respondents was used to finalize the guideline and confirm that the guideline's core concepts were applicable and had utility for the trial community. CONSERVE incorporates an implementation tool and checklists tailored to trial reports and trial protocols for which extenuating circumstances have resulted in important modifications to the intended study procedures. The checklists include 4 sections capturing extenuating circumstances, important modifications, responsible parties, and interim data analyses. CONCLUSIONS AND RELEVANCE CONSERVE offers an extension to CONSORT and SPIRIT that could improve the transparency, quality, and completeness of reporting important modifications to trials in extenuating circumstances such as COVID-19.",,,,"Weijer, Charles/ABC-5433-2020; Ayala, Ana Patricia/P-8955-2015","Weijer, Charles/0000-0002-5510-1074; Ayala, Ana Patricia/0000-0002-3613-2270; Calleja, Sabine/0000-0001-5297-0736",,,,,,,,,,,,0098-7484,1538-3598,,,,,,,,,,,,,,,10.1001/jama.2021.9941,,JUN 2021,,,,,WOS:000666399000001,34152382,,,,,
J,"Arezzo, A; Mistrangelo, M; Bonino, MA; Salusso, P; Forcignano, E; Vettoretto, N; Botteri, E; Cillara, N; Ottonello, R; Testa, V; De Rosa, FG; Corcione, S; Passera, R; Morino, M",,,,"Arezzo, Alberto; Mistrangelo, Massimiliano; Bonino, Marco Augusto; Salusso, Paola; Forcignano, Edoardo; Vettoretto, Nereo; Botteri, Emanuele; Cillara, Nicola; Ottonello, Roberto; Testa, Valentina; De Rosa, Francesco Giuseppe; Corcione, Silvia; Passera, Roberto; Morino, Mario",,,"Oral neomycin and bacitracin are effective in preventing surgical site infections in elective colorectal surgery: a multicentre, randomized, parallel, single-blinded trial (COLORAL-1)",UPDATES IN SURGERY,,,,,,,,,,,,"Several regimens of oral and intravenous antibiotics (OIVA) have been proposed with contradicting results, and the role of mechanical bowel preparation (MBP) is still controversial. This study aims to assess the effectiveness of oral antibiotic prophylaxis in preventing Surgical Site Infections (SSI) in elective colorectal surgery. In a multicentre trial, we randomized patients undergoing elective colorectal resection surgery, comparing the effectiveness of OIVA versus intravenous antibiotics (IVA) regimens to prevent SSI as the primary outcome (NCT04438655). In addition to intravenous Amoxicillin/Clavulanic, patients in the OIVA group received Oral Neomycin and Bacitracin 24 h before surgery. MBP was administered according to local habits which were not changed for the study. The trial was terminated during the COVID-19 pandemic, as many centers failed to participate as well as the pandemic changed the rules for engaging patients. Two-hundred and four patients were enrolled (100 in the OIVA and 104 in the IVA group); 3 SSIs (3.4%) were registered in the OIVA and 14 (14.4%) in the IVA group (p = 0.010). No difference was observed in terms of anastomotic leak. Multivariable analysis indicated that OIVA reduced the rate of SSI (OR 0.21 / 95% CI 0.06-0.78 / p = 0.019), while BMI is a risk factor of SSI (OR 1.15 / 95% CI 1.01-1.30 p = 0.039). Subgroup analysis indicated that 0/22 patients who underwent OIVA/MBP + vs 13/77 IVA/MBP- experienced an SSI (p = 0.037). The early termination of the study prevents any conclusion regarding the interpretation of the data. Nonetheless, Oral Neomycin/Bacitracin and intravenous beta-lactam/beta-lactamases inhibitors seem to reduce SSI after colorectal resections, although not affecting the anastomotic leak in this trial. The role of MBP requires more investigation.",,,,,"Arezzo, Alberto/0000-0002-2110-4082",,,,,,,,,,,,2038-131X,2038-3312,,,,,,,,,,,,,,,10.1007/s13304-021-01112-5,,JUN 2021,,,,,WOS:000664313500002,34148172,,,,,
J,"Ahmadi, R; Salari, S; Sharifi, MD; Reihani, H; Rostamiani, MB; Behmadi, M; Taherzadeh, Z; Eslami, S; Rezayat, SM; Jaafari, MR; Elyasi, S",,,,"Ahmadi, Reza; Salari, Soofia; Sharifi, Mohammad Davood; Reihani, Hamidreza; Rostamiani, Mohammad Bagher; Behmadi, Morteza; Taherzadeh, Zhila; Eslami, Saeed; Rezayat, Seyed Mahdi; Jaafari, Mahmoud Reza; Elyasi, Sepideh",,,Oral nano-curcumin formulation efficacy in the management of mild to moderate outpatient COVID-19: A randomized triple-blind placebo-controlled clinical trial,FOOD SCIENCE & NUTRITION,,,,,,,,,,,,"Background: Curcumin, a natural polyphenolic compound, is proposed as a potential treatment option for patients with coronavirus disease by inhibiting the entry of virus to the cell, encapsulation of the virus and viral protease, as well as modulating various cellular signaling pathways. In this study, the efficacy and safety of nanocurcumin oral formulation has been evaluated in patients with mild-moderate Coronavirus disease 2019 (COVID-19) in outpatient setting. Methods: In this triple-blind randomized placebo-controlled clinical trial, sixty mild to moderate COVID-19 patients in outpatient setting who fulfilled the inclusion criteria were randomly allocated to treatment (n = 30) group to receive oral nanocurcumin formulation (Sinacurcumin soft gel which contains 40 mg curcuminoids as nanomicelles), two soft gels twice a day after food for 2 weeks or placebo (n = 30) group. Patients' symptoms and laboratory data were assessed at baseline and during follow-up period and compared between two groups. Results: All symptoms except sore throat resolved faster in the treatment group and the difference was significant for chills, cough and smell and taste disturbances. The CRP serum level was lower in the treatment group at the end of two weeks and the lymphocyte count was significantly higher in treatment group. No significant adverse reaction reported in the treatment group. Conclusion: Oral nanoformulation of curcumin can significantly improve recovery time in patients with mild to moderate COVID-19 in outpatient setting. Further studies with larger sample size are recommended.",,,,,,,,,,,,,,,,,2048-7177,,,,,,,,,,,,,,,,10.1002/fsn3.2226,,JUN 2021,,,,,WOS:000663375100001,,,,,,
J,"Khademi, F; Rassouli, M; Rafiei, F; Moayedi, S; Torres, M; Marzban, N; Haji, E; Golitaleb, M",,,,"Khademi, Fatemeh; Rassouli, Maryam; Rafiei, Fatemeh; Moayedi, Siamak; Torres, Mercedes; Marzban, Negin; Haji, Ensieh; Golitaleb, Mohamad",,,The effect of mandala colouring on anxiety in hospitalized COVID-19 patients: A randomized controlled clinical trial,INTERNATIONAL JOURNAL OF MENTAL HEALTH NURSING,,,,,,,,,,,,"COVID-19 significantly affects patients' mental health, triggering a wide range of psychological disorders, including anxiety. The aim of this study was to investigate the effect of mandala colouring on the anxiety of hospitalized COVID-19 patients. In this randomized controlled clinical trial, 70 hospitalized patients with COVID-19 were randomly divided between the intervention and control groups. Standard care was provided for both groups. The intervention group spent 30 min/day for six consecutive days performing mandala colouring. Patient anxiety was measured prior and subsequent to the intervention in both groups using the Spielberger State-Trait Anxiety Inventory. Data were analysed using SPSS software version 25. The mean anxiety score was not significantly different between the two groups before the intervention (P = 0.08). Subsequent to the intervention, the mean anxiety score in the intervention and control groups was 44.05 +/- 4.67 and 67.85 +/- 6.25, respectively, indicating a statistically significant (P = 0.0001) decrease in the anxiety measured among the intervention group as compared with that of the control group. The results of this study show that 30 min of mandala colouring daily is an effective strategy for reducing anxiety in hospitalized COVID-19 patients. Mandala colouring can complement routine treatment and provides a non-pharmaceutical option for decreasing patient anxiety.",,,,"; Golitaleb, Mohamad/M-9318-2017; rafiei, fatemeh/V-2824-2017","Rassouli, Maryam/0000-0002-5607-8064; Golitaleb, Mohamad/0000-0002-9216-9262; rafiei, fatemeh/0000-0002-1303-8660",,,,,,,,,,,,1445-8330,1447-0349,,,,,,,,,,,,,,,10.1111/inm.12901,,JUN 2021,,,,,WOS:000663004400001,34143568,,,,,
J,"Rosen, J; von Oelreich, E; Fors, D; Fagerlund, MJ; Taxbro, K; Skorup, P; Eby, L; Jalde, FC; Johansson, N; Bergstrom, G; Frykholm, P",,,,"Rosen, Jacob; von Oelreich, Erik; Fors, Diddi; Fagerlund, Malin Jonsson; Taxbro, Knut; Skorup, Paul; Eby, Ludvig; Jalde, Francesca Campoccia; Johansson, Niclas; Bergstrom, Gustav; Frykholm, Peter",,PROFLO Study Grp,Awake prone positioning in patients with hypoxemic respiratory failure due to COVID-19: the PROFLO multicenter randomized clinical trial,CRITICAL CARE,,,,,,,,,,,,"Background: The effect of awake prone positioning on intubation rates is not established. The aim of this trial was to investigate if a protocol for awake prone positioning reduces the rate of endotracheal intubation compared with standard care among patients with moderate to severe hypoxemic respiratory failure due to COVID-19. Methods: We conducted a multicenter randomized clinical trial. Adult patients with confirmed COVID-19, high-flow nasal oxygen or noninvasive ventilation for respiratory support and a PaO2/FiO(2) ratio <= 20 kPa were randomly assigned to a protocol targeting 16 h prone positioning per day or standard care. The primary endpoint was intubation within 30 days. Secondary endpoints included duration of awake prone positioning, 30-day mortality, ventilator-free days, hospital and intensive care unit length of stay, use of noninvasive ventilation, organ support and adverse events. The trial was terminated early due to futility. Results: Of 141 patients assessed for eligibility, 75 were randomized of whom 39 were allocated to the control group and 36 to the prone group. Within 30 days after enrollment, 13 patients (33%) were intubated in the control group versus 12 patients (33%) in the prone group (HR 1.01 (95% CI 0.46-2.21), P = 0.99). Median prone duration was 3.4 h [IQR 1.8-8.4] in the control group compared with 9.0 h per day [IQR 4.4-10.6] in the prone group (P = 0.014). Nine patients (23%) in the control group had pressure sores compared with two patients (6%) in the prone group (difference - 18% (95% CI - 2 to - 33%); P = 0.032). There were no other differences in secondary outcomes between groups. Conclusions: The implemented protocol for awake prone positioning increased duration of prone positioning, but did not reduce the rate of intubation in patients with hypoxemic respiratory failure due to COVID-19 compared to standard care.",,,,,,,,,,,,,,,,,1364-8535,1466-609X,,,,JUN 14,2021,25,1,,,,,,,209,10.1186/s13054-021-03602-9,,,,,,,WOS:000663761300002,34127046,,,,,
J,"Silva, IR; Maro, J; Kulldorff, M",,,,"Silva, Ivair R.; Maro, Judith; Kulldorff, Martin",,,Exact sequential test for clinical trials and post-market drug and vaccine safety surveillance with Poisson and binary data,STATISTICS IN MEDICINE,,,,,,,,,,,,"In sequential analysis, hypothesis testing is performed repeatedly in a prospective manner as data accrue over time to quickly arrive at an accurate conclusion or decision. In this tutorial paper, detailed explanations are given for both designing and operating sequential testing. We describe the calculation of exact thresholds for stopping or signaling, statistical power, expected time to signal, and expected sample sizes for sequential analysis with Poisson and binary type data. The calculations are run using the package Sequential, constructed in R language. Real data examples are inspired on clinical trials practice, such as the current efforts to develop treatments to face the COVID-19 pandemic, and the comparison of treatments of osteoporosis. In addition, we mimic the monitoring of adverse events following influenza vaccination and Pediarix vaccination.",,,,,,,,,,,,,,,,,0277-6715,1097-0258,,,,,,,,,,,,,,,10.1002/sim.9094,,JUN 2021,,,,,WOS:000660937600001,34120357,,,,,
